course_id,course_name,course_link
0,Agile with Atlassian Jira,https://www.coursera.org/learn/agile-atlassian-jira
1,Supervised Machine Learning: Regression and Classification,https://www.coursera.org/learn/machine-learning
2,AWS Cloud Technical Essentials,https://www.coursera.org/learn/aws-cloud-technical-essentials
3,Java Programming and Software Engineering Fundamentals Specialization,https://www.coursera.org/specializations/java-programming
4,Statistics with Python Specialization,https://www.coursera.org/specializations/statistics-with-python
5,Introduction to Cyber Security Specialization,https://www.coursera.org/specializations/intro-cyber-security
6,Introduction to Hardware and Operating Systems,https://www.coursera.org/learn/introduction-to-hardware-and-operating-systems
7,Introduction to Artificial Intelligence (AI),https://www.coursera.org/learn/introduction-to-ai
8,"HTML, CSS, and Javascript for Web Developers",https://www.coursera.org/learn/html-css-javascript-for-web-developers
9,The Bits and Bytes of Computer Networking,https://www.coursera.org/learn/computer-networking
10,UX Design: From Concept to Prototype,https://www.coursera.org/learn/ux-design-concept-wireframe
11,IBM DevOps and Software Engineering Professional Certificate,https://www.coursera.org/professional-certificates/devops-and-software-engineering