student_id,module_id
12345678,CS205
12345678,CS441
12345678,IS105
12345678,IS111
12345678,IS112
12345678,IS113
12345678,IS212
12345678,IS213
12345678,IS214
12345678,IS417
12345678,IS424
12345678,IS442
12345678,IS445
12345678,IS453
12345678,IS458
23456789,CS106
23456789,CS205
23456789,CS426
23456789,IS105
23456789,IS111
23456789,IS112
23456789,IS113
23456789,IS212
23456789,IS213
23456789,IS214
23456789,IS417
23456789,IS424
23456789,IS442
23456789,IS445
23456789,IS453
23456789,IS458
23456789,IS470
23456789,IS471
23456789,IS472
23456789,IS483
23456789,IS484
31238871,IS105
31238871,IS111
31238871,IS112
31238871,IS113
31238871,IS212
31238871,IS213
31238871,IS214
31238871,IS215
31238871,IS217
31238871,IS424
31238871,IS428
31238871,IS434
31238871,IS442
31238871,IS444
31238871,IS445
31238871,IS446
31238871,IS450
31238871,IS453
31238871,IS458
31238871,IS461
31238871,IS462
31238871,IS470
31238871,IS471
31238871,IS602
31238871,IS607
31238871,IS613
31238871,IS614
31238871,IS615
31238871,IS617
31238871,IS620
31238871,IS621
34567890,CS102
34567890,CS106
34567890,CS440
34567890,IS105
34567890,IS111
34567890,IS112
34567890,IS113
34567890,IS212
34567890,IS213
34567890,IS214
34567890,IS417
45678901,CS301
45678901,CS445
45678901,IS105
45678901,IS212
45678901,IS215
45678901,IS444
45678901,IS446
56789012,CS421
56789012,CS442
56789012,CS461
56789012,IS111
56789012,IS113
56789012,IS213
56789012,IS424
56789012,IS450
56789012,IS461
56789012,IS483
67890123,CS102
67890123,CS205
67890123,IS105
67890123,IS111
67890123,IS212
67890123,IS442
67890123,IS450
67890123,IS460
67890123,IS484
67890123,IS617
78901234,CS102
78901234,IS111
78901234,IS113
78901234,IS212
78901234,IS458
78901234,IS462
78901234,IS471
78901234,IS485
89012345,CS106
89012345,CS460
89012345,IS105
89012345,IS113
89012345,IS213
89012345,IS434
89012345,IS459
89012345,IS614
90123456,CS470
90123456,IS112
90123456,IS213
90123456,IS415
90123456,IS462
90123456,IS617